# Chart Data Export
# Version: 1.0
# Source: datasets.recommender-systems.com
# Export Date: 2026-02-02T12:41:37.612Z
# Chart: comparison-bpr-cdae-ndcg@5
Dataset,Category,Performance of BPR,Performance of CDAE
Amazon-Ratings,True Challenges,0.0072632671611793,0.01155040549465784
Amazon2014-Amazon-Instant-Video,True Challenges,0.0513049891157177,0.03820745038254928
Amazon2014-Apps-For-Android,True Challenges,0.0162244683632718,0.01768913556453678
Amazon2014-Automotive,True Challenges,0.01482727588295774,0.01176770383737236
Amazon2014-Baby,True Challenges,0.004287103594467241,0.00825988992202238
Amazon2014-Beauty,True Challenges,0.011988647178324739,0.016003553077927418
Amazon2014-CDs-And-Vinyl,True Challenges,0.00887302004149324,0.014855251070868419
Amazon2014-Cell-Phones-And-Accessories,True Challenges,0.009602812865875481,0.012608601261957262
Amazon2014-Clothing-Shoes-And-Jewelry,True Challenges,0.00170919315343174,0.0025719497659522
Amazon2014-Digital-Music,True Challenges,0.04165071938389302,0.0176913293116076
Amazon2014-Grocery-And-Gourmet,True Challenges,0.014605867623385121,0.02099359461355358
Amazon2014-Health-And-Personal-Care,True Challenges,0.00956083137305354,0.013941912847022838
Amazon2014-Home-And-Kitchen,True Challenges,0.00211589211938082,0.0034785085583154
Amazon2014-Kindle-Store,True Challenges,0.01384037062361626,0.02073455434593286
Amazon2014-Musical-Instruments,True Challenges,0.01091343607028502,0.02335628352138878
Amazon2014-Office-Products,True Challenges,0.013574759770794781,0.01547905491330564
Amazon2014-Patio-Lawn-And-Garden,True Challenges,0.025106780209825742,0.0304755649856679
Amazon2014-Pet-Supplies,True Challenges,0.010025426625614,0.014132534317498039
Amazon2014-Sports-And-Outdoors,True Challenges,0.0044409050402993405,0.006749582747434141
Amazon2014-Tools-And-Home-Improvement,True Challenges,0.00454216550865858,0.00581326731735336
Amazon2014-Toys-And-Games,True Challenges,0.00880612924497842,0.005523465852235439
Amazon2014-Video-Games,True Challenges,0.014322778059826718,0.016893722919795802
Amazon2018-Arts-Crafts-And-Sewing,True Challenges,0.0050454329721453,0.00466415518350184
Amazon2018-Automotive,True Challenges,0.00069296357193026,0.00130127441591814
Amazon2018-Cell-Phones-And-Accessories,True Challenges,0.00144928407156352,0.00225099961654814
Amazon2018-Clothing-Shoes-And-Jewelry,True Challenges,0.0021396982311889003,0.0016365049976034
Amazon2018-Digital-Music,True Challenges,0.012914806230343362,0.00815283227941562
Amazon2018-Gift-Cards,True Challenges,0.03019288356707326,0.053165047697282995
Amazon2018-Grocery-And-Gourmet-Food,True Challenges,0.00257678290591932,0.0033641115139047195
Amazon2018-Industrial-And-Scientific,True Challenges,0.01074828500284996,0.00348209736930532
Amazon2018-Luxury-Beauty,True Challenges,0.03365776843313898,0.03066399864835958
Amazon2018-Magazine-Subscriptions,True Challenges,0.044227206634104274,0.06533486551427098
Amazon2018-Musical-Instruments,True Challenges,0.004200484638404839,0.00467061145707132
Amazon2018-Office-Products,True Challenges,0.0046721899366007,0.0048957736288258195
Amazon2018-Patio-Lawn-And-Garden,True Challenges,0.00190610135195454,0.00255072734598888
Amazon2018-Prime-Pantry,True Challenges,0.00341636271000532,0.00801995139096796
Amazon2018-Software,True Challenges,0.02635946752850692,0.0100354537025502
Amazon2018-Video-Games,True Challenges,0.00769723416950478,0.011751807463861421
Behance,True Challenges,0.01217306020587446,0.01650773806645716
BookCrossing,True Challenges,0.011104602777471419,0.01033961521056968
CiaoDVD,True Challenges,0.02284768356299506,0.02369211366217246
CiteULike-A,True Challenges,0.06828120453266594,0.042594374248187516
CiteULike-T,True Challenges,0.047384161794194454,0.02826324242376162
DeliveryHero-SE,True Challenges,0.03319649280728458,0.03716266290851737
Diginetica,True Challenges,0.06572371077896393,0.00569497517388174
Douban-Book,True Challenges,0.05151861032466809,0.11188332243446175
Douban-Music,True Challenges,0.05066069234847368,0.10579500029281522
Douban-Short,True Challenges,0.13869071113748124,0.1735339363934222
Epinions,True Challenges,0.013081614611403619,0.0212833241386301
Escorts,True Challenges,0.050069436400257884,0.03304752394529756
